Streat	     House	     Population
Streat 0	 House 0	 81
Streat 0	 House 1	 37
Streat 0	 House 2	 15
Streat 0	 House 3	 86
Streat 0	 House 4	 100
Streat 0	 House 5	 72
Streat 0	 House 6	 80
Streat 0	 House 7	 46
Streat 0	 House 8	 48
Streat 0	 House 9	 70
Streat 0	 House 10	 6
Streat 0	 House 11	 41
Streat 1	 House 0	 23
Streat 1	 House 1	 31
Streat 1	 House 2	 57
Streat 1	 House 3	 28
Streat 1	 House 4	 50
Streat 1	 House 5	 71
Streat 1	 House 6	 81
Streat 2	 House 0	 8
Streat 2	 House 1	 19
Streat 2	 House 2	 62
Streat 2	 House 3	 28
Streat 2	 House 4	 3
Streat 2	 House 5	 6
Streat 2	 House 6	 76
Streat 2	 House 7	 98
Streat 3	 House 0	 59
Streat 3	 House 1	 85
Streat 3	 House 2	 67
Streat 3	 House 3	 62
Streat 3	 House 4	 97
Streat 3	 House 5	 14
Streat 3	 House 6	 2
Streat 3	 House 7	 39
Streat 3	 House 8	 40
Streat 3	 House 9	 15
Streat 3	 House 10	 28
Streat 3	 House 11	 100
Streat 4	 House 0	 70
Streat 4	 House 1	 46
Streat 4	 House 2	 45
Streat 4	 House 3	 83
Streat 4	 House 4	 65
